MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,MASS,MASSUPPER,MASSLOWER,UMASS,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,R,RUPPER,RLOWER,UR,RHOSTAR,RHOSTARUPPER,RHOSTARLOWER,URHOSTAR,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,FIRSTREF,FIRSTURL,PLANETDISCMETH
1.5,0.03,0.03,0.03,1.7916,0.0631816,0.0631816,0.0631816,1.981,0.013,0.117,0.065,1.363,0.195,0.08699999999999997,0.141,0.2718,0,0.001,0.0005,0.876,0.17,0.23999999999999996,0.205,Pal 2008,http://adsabs.harvard.edu/abs/2008ApJ...680.1450P,Transit
1.495,0.031,0.031,0.031,0,4.1,0,2.05,1.444,0.034,0.034,0.034,1.497,0.045,0.045,0.045,0.699776,0.033792,0.033792,0.033792,0.00122703,0.00123201,0.00123201,0.00123201,Christian 2006,http://adsabs.harvard.edu/abs/2006MNRAS.372.1117C,Transit
1.49,0.22,0.17,0.195,0.029598,0.0124179,0.0124179,0.0124179,1.81,0.67,0.35,0.51,0.281,0.00037,0.15663,0.0785,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.49,0.22,0.15,0.185,0.0385876,0.0181831,0.0181831,0.0181831,1.81,0.67,0.33999999999999997,0.505,0.317,0.0004,0.17659999999999998,0.0885,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.49,0.22,0.18000000000000002,0.2,1,0,0,0,1.8,0.65,0.36,0.505,1.335,0.00005,0.74795,0.374,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.49,0.21,0.13999999999999999,0.175,0.0160703,0.00441589,0.00441589,0.00441589,1.79,0.62,0.31000000000000005,0.465,0.192,0.00145,0.10455,0.053,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.48,0.12,0.12,0.12,0.95,0.06,0.06,0.06,1.64,0.05,0.05,0.05,1.56,0.06,0.06,0.06,0.477,0.025,0.025,0.025,0.333,0.027,0.027,0.027,Hellier 2015,http://adsabs.harvard.edu/abs/2015AJ....150...18H,Transit
1.48,0.06,0.06,0.06,2.17684,0.336268,0.336268,0.336268,2.13,0.06,0.06,0.06,1.17,0.04,0.04,0.04,,,,,1.68,0.53,0.42999999999999994,0.48,Santerne 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..63S,Transit
1.48,0.1,0.1,0.1,2.78,0.13,0.13,0.13,1.76,0.11,0.06000000000000001,0.085,1.1,0.08,0.05,0.065,0.27,0.02,0.039999999999999994,0.03,2.1,0.3,0.3,0.3,Hellier 2013,http://adsabs.harvard.edu/abs/2014MNRAS.440.1982H,Transit
1.48,0.02,0.02,0.02,8.18778,0.306596,0.306596,0.306596,2.02329,0.0652218,0.0652218,0.0652218,,,,,,,,,,,,,Korzennik 2000,http://adsabs.harvard.edu/abs/2000ApJ...533L.147K,RV
