MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,MASS,MASSUPPER,MASSLOWER,UMASS,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,R,RUPPER,RLOWER,UR,RHOSTAR,RHOSTARUPPER,RHOSTARLOWER,URHOSTAR,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY
1.653,0.219,0.438,0.3285,0.05399373022554847,0.03661982314514983,0.03661982314514983,0.03661982314514983,3.831,0.542,1.627,1.0845,0.3550724276854417,0.05085208135193511,0.1507719604995971,0.1008120209257661,,,,,,,,
1.65,0.12,0.12,0.12,1.79425,0.202365,0.202365,0.202365,5.30151,0.16968,0.16968,0.16968,,,,,,,,,,,,
1.635,0.143,0.572,0.3575,1,0,0,0,3.348,0.675,2.161,1.4180000000000001,8.492297585773166,1.712020072181816,5.4813190846717434,3.5966695784267793,,,,,,,,
1.64,0.09,0.12,0.105,0.00915206,0.00396485,0.00396485,0.00396485,2.55,0.35,0.39,0.37,0.124,0.00026,0.037739999999999996,0.019,,,,,,,,
1.64,0.08,0.08,0.08,1.25,0.05,0.05,0.05,2.18,0.08,0.05,0.065,1.67,0.07,0.04999999999999999,0.06,0.2225,0.00084,0.02732,0.01408,0.33,0.04,0.04,0.04
1.64,0.07,0.1,0.085,0.0746947,0.0162168,0.0162168,0.0162168,2.56,0.27,0.29999999999999993,0.285,0.424,0.00039,0.09461,0.0475,,,,,,,,
1.63,0.06,0.06,0.06,1.63682,0.0869215,0.0869215,0.0869215,4.21565,0.135453,0.135453,0.135453,,,,,,,,,,,,
1.63,0.22,0.22,0.22,1.41789,0.14139,0.14139,0.14139,5.92,0.44,0.44,0.44,,,,,,,,,,,,
1.618,0.219,0.267,0.243,0.22332701801239385,0.30556028449899886,0.30556028449899886,0.30556028449899886,2.758,0.499,0.927,0.7130000000000001,0.7137134224832999,0.12936055782509812,0.2399861383100096,0.18467334806755384,,,,,,,,
1.616,0.256,0.256,0.256,1,0,0,0,10.472,0.696,0.696,0.696,1.4238582778541835,0.09456702847903725,0.09456702847903725,0.09456702847903725,,,,,,,,
1.62,0.09,0.09,0.09,1.41137,0.130724,0.130724,0.130724,4.29546,0.137771,0.137771,0.137771,,,,,,,,,,,,
1.62,0.11,0.11,0.11,2.12353,0.137418,0.137418,0.137418,2.95355,0.0954483,0.0954483,0.0954483,,,,,,,,,,,,
1.62,0.18,0.16999999999999998,0.175,0.110157,0.0450996,0.0450996,0.0450996,2.02,0.5,0.41000000000000003,0.455,0.512,0.00006,0.23094,0.1155,,,,,,,,
1.606,0.17,0.51,0.34,1,0,0,0,11.536,1.874,2.811,2.3425000000000002,2.646984655634939,0.43001233704618824,0.6450185055692823,0.5375154213077353,,,,,,,,
1.606,0.17,0.51,0.34,1,0,0,0,11.536,1.874,2.811,2.3425000000000002,3.21171040117485,0.5219029401909131,0.7824083393973176,0.6521556397941153,,,,,,,,
1.61,0.12,0.12,0.12,2.24115,0.178426,0.178426,0.178426,4.56407,0.146099,0.146099,0.146099,,,,,,,,,,,,
1.596,0.234,0.312,0.273,0.02006293496229358,0.010570823541449701,0.010570823541449701,0.010570823541449701,2.753,0.485,0.971,0.728,0.22125116096982297,0.039254238236581494,0.07761633469505887,0.058435286465820184,,,,,,,,
1.6,0.19,0.16999999999999998,0.18,0.0632121,0.0296791,0.0296791,0.0296791,2.01,0.55,0.3999999999999999,0.475,0.391,0.00052,0.18548,0.093,,,,,,,,
1.6,0.1,0.1,0.1,0.0125983,0.0018866,0.0018866,0.0018866,1.73,0.29,0.2,0.245,0.152,0.00027,0.04373,0.022,,,,,,,,
1.6,0.4,0.4,0.4,10.014,1.68215,1.68215,1.68215,41.0489,1.31357,1.31357,1.31357,,,,,,,,,,,,
1.594,0.213,0.496,0.3545,1,0,0,0,12.023,0.744,2.084,1.4140000000000001,4.5436780758843085,0.28102466010279936,0.7877611900659424,0.5343929250843709,,,,,,,,
1.595,0.176,0.194,0.185,1,0,0,0,3.079,0.391,0.782,0.5865,1.506827463217867,0.19181048229238684,0.3827288228066696,0.2872696525495282,,,,,,,,
