Teff Fe/H Dnu0_median dnu02_median r_sep02_median r_avg01_median r_avg10_median
5.858553262254367899e-01 4.407185767764702083e-02 1.978437095645770305e-01 4.942634259467527241e-02 8.580526499752598457e-02 1.314544534406063281e-02 2.385205359607735567e-02
5.932662366440821788e-01 4.061108856752084634e-02 1.404774681433109962e-01 6.693237108968332072e-02 7.792265128079775560e-02 1.075820294697197622e-02 7.003198132763298334e-02
6.121529182535397906e-01 4.929835448341954307e-02 1.795299360808242928e-01 6.579337539497341625e-02 5.211208034852556764e-02 1.456805794778232195e-02 2.654527749093506250e-02
6.209192156530161100e-01 4.202007351085300380e-02 1.847245270952639074e-01 4.365391376985924138e-02 7.965116470720583208e-02 1.624941965684666839e-02 1.278168560695532377e-02
5.990367829068090622e-01 6.797023811490104928e-02 1.591428171773834610e-01 5.224289533993047713e-02 7.120929665680190979e-02 9.847681700948972966e-03 4.055028810322503646e-02
5.682431428133305484e-01 4.161677198549677825e-02 1.996741549583399555e-01 9.469142915560732621e-02 5.434995360468846543e-02 2.391802733452009014e-02 1.750652014801687070e-02
5.679235502931131441e-01 4.648715392801455737e-02 2.284428343280743567e-01 6.743633438370238986e-02 4.466861093470927968e-02 1.692777771795303185e-02 2.811373841443333410e-02
5.066470089436416746e-01 4.608239638393821919e-02 1.485255320701635018e-01 7.952910649989444747e-02 5.918828896519978677e-02 8.704756797276945457e-02 7.298009916439289479e-02
6.197439903218305846e-01 5.711779017618649062e-02 1.251233500060402737e-01 7.320313152862346906e-02 4.476586532489265635e-02 5.223564814015048408e-02 2.781022450227588899e-02
5.361730594951984452e-01 7.975775436822747644e-02 1.429255997737648165e-01 3.970384657264432876e-02 6.824835296767189918e-02 6.936248465334063362e-02 6.382890216915243498e-02
5.357696941871746832e-01 4.392467321947702424e-02 2.718179706705036724e-01 3.734783433771875910e-02 7.414760613618746887e-02 2.053476059758397795e-02 1.645746085135435521e-02
5.888041893639129887e-01 4.453891150567403784e-02 1.647370733129381870e-01 4.916990721063096287e-02 4.548213220571403759e-02 2.768069438514748903e-02 7.958709201598226923e-02
4.777962442763532547e-01 4.012155196557479903e-02 2.904131472638388223e-01 1.304425634528446620e-01 3.271748203144892592e-02 1.514552828434077500e-02 1.336348272559878363e-02
6.360166318921104400e-01 4.424802594390706001e-02 1.726587677512498586e-01 3.892017413463674802e-02 6.586426069057148280e-02 1.743671768595587979e-02 2.485542190156852030e-02
5.907434152947615980e-01 3.972729253469426541e-02 1.524550824572096785e-01 9.190686223171841418e-02 6.185073019996731314e-02 3.854216159507733303e-02 2.477445568657129019e-02
