#  l   n        freq     error
#             muHz        muHz
   32   21   4362.9108   0.0816
   33   3   1425.4175   0.0026
   33   4   1633.2285   0.0042
   33   5   1823.8413   0.0053
   33   6   2007.5963   0.0067
   33   7   2187.3071   0.0076
   33   8   2360.7908   0.0087
   33   9   2529.0773   0.0089
   33   10   2694.9607   0.0084
   33   11   2858.4784   0.0077
   33   12   3018.7244   0.0075
   33   13   3175.9589   0.0089
   33   14   3331.3312   0.0118
   33   15   3485.5913   0.0152
   33   16   3639.0054   0.0197
   33   17   3791.5060   0.0257
   33   18   3943.3510   0.0343
   33   19   4094.6635   0.0465
   33   20   4245.4525   0.0641
   33   21   4395.7641   0.0868
   34   2   1207.9995   0.0019
   34   3   1441.1445   0.0028
   34   4   1649.7243   0.0040
   34   5   1841.2464   0.0056
   34   6   2026.3266   0.0069
   34   7   2206.9968   0.0077
   34   8   2381.1904   0.0087
   34   9   2550.6025   0.0087
   34   10   2717.9121   0.0080
   34   11   2882.8522   0.0074
   34   12   3044.3480   0.0076
   34   13   3202.7190   0.0093
   34   14   3359.0903   0.0121
   34   15   3514.2719   0.0159
   34   16   3668.4942   0.0206
   34   17   3821.7356   0.0264
   34   18   3974.2880   0.0361
   34   19   4126.1281   0.0493
   34   20   4277.5126   0.0685
   34   21   4428.4051   0.0930
   35   2   1221.9260   0.0021
   35   3   1456.6200   0.0030
   35   4   1665.9469   0.0038
   35   5   1858.4443   0.0055
   35   6   2044.8001   0.0068
   35   7   2226.3867   0.0078
   35   8   2401.2840   0.0085
   35   9   2571.7944   0.0087
   35   10   2740.4563   0.0084
   35   11   2906.7550   0.0075
   35   12   3069.5045   0.0079
   35   13   3229.0461   0.0098
   35   14   3386.4775   0.0124
   35   15   3542.6000   0.0165
   35   16   3697.5996   0.0211
   35   17   3851.6742   0.0281
   35   18   4004.8608   0.0380
   35   19   4157.5038   0.0519
   35   20   4309.2148   0.0726
   36   1   966.2864   0.0015
   36   2   1235.6592   0.0020
   36   3   1471.8444   0.0031
   36   4   1681.8951   0.0043
   36   5   1875.4139   0.0060
   36   6   2063.0830   0.0068
   36   7   2245.4766   0.0078
   36   8   2421.0910   0.0085
   36   9   2592.6785   0.0083
   36   10   2762.6468   0.0076
   36   11   2930.1901   0.0075
   36   12   3094.1935   0.0079
   36   13   3254.9756   0.0101
   36   14   3413.5321   0.0127
   36   15   3570.6064   0.0171
   36   16   3726.4721   0.0221
   36   17   3881.2409   0.0298
   36   18   4035.1230   0.0418
   36   19   4188.2528   0.0560
   36   20   4340.8893   0.0775
   37   1   977.5152   0.0039
   37   2   1249.1943   0.0023
   37   3   1486.8142   0.0030
   37   4   1697.5936   0.0046
   37   5   1892.1894   0.0056
   37   6   2081.1160   0.0068
   37   7   2264.3051   0.0081
   37   8   2440.6249   0.0088
   37   9   2613.3007   0.0081
   37   10   2784.4875   0.0077
   37   11   2953.1916   0.0073
   37   12   3118.4272   0.0083
   37   13   3280.4885   0.0105
   37   14   3440.2501   0.0131
   37   15   3598.2931   0.0175
   37   16   3754.9501   0.0231
   37   17   3910.5728   0.0314
   37   18   4065.1349   0.0437
   37   19   4219.0209   0.0606
   38   1   988.5751   0.0027
   38   2   1262.5578   0.0019
   38   3   1501.5475   0.0029
   38   4   1713.0409   0.0046
   38   5   1908.7923   0.0057
   38   6   2098.9391   0.0067
   38   7   2282.8785   0.0078
   38   8   2459.9370   0.0084
   38   9   2633.6578   0.0083
   38   10   2805.9817   0.0077
   38   11   2975.8036   0.0073
   38   12   3142.2450   0.0083
   38   13   3305.5890   0.0106
   38   14   3466.5713   0.0136
   38   15   3625.5719   0.0183
   38   16   3783.1667   0.0243
   38   17   3939.4618   0.0331
   38   18   4094.8744   0.0468
   38   19   4249.4096   0.0650
   38   20   4403.1840   0.0864
   39   1   999.4935   0.0033
   39   2   1275.7315   0.0021
   39   3   1516.0492   0.0032
   39   4   1728.2563   0.0045
   39   5   1925.1810   0.0059
   39   6   2116.5461   0.0070
   39   7   2301.2036   0.0079
   39   8   2479.0031   0.0086
   39   9   2653.8058   0.0080
   39   10   2827.2241   0.0073
   39   11   2998.0680   0.0072
   39   12   3165.6062   0.0086
   39   13   3330.2542   0.0108
   39   14   3492.4982   0.0147
   39   15   3652.5497   0.0192
   39   16   3810.9994   0.0250
   39   17   3968.1403   0.0356
   39   18   4124.2832   0.0498
   39   19   4279.3545   0.0679
   40   1   1010.2585   0.0021
   40   2   1288.7342   0.0022
   40   3   1530.3189   0.0031
   40   4   1743.2542   0.0047
   40   5   1941.3957   0.0058
   40   6   2133.9077   0.0070
   40   7   2319.2797   0.0080
   40   8   2497.8690   0.0085
   40   9   2673.7161   0.0080
   40   10   2848.1773   0.0073
   40   11   3019.9775   0.0072
   40   12   3188.6012   0.0089
   40   13   3354.5232   0.0113
   40   14   3517.9989   0.0152
   40   15   3679.1974   0.0199
   40   16   3838.5160   0.0269
   40   17   3996.5741   0.0378
   40   18   4153.3977   0.0528
   41   1   1020.8745   0.0174
   41   2   1301.5681   0.0021
   41   3   1544.3648   0.0033
   41   4   1758.0285   0.0047
   41   5   1957.4333   0.0063
   41   6   2151.1088   0.0069
   41   7   2337.1474   0.0080
   41   8   2516.5012   0.0084
   41   9   2693.4663   0.0081
   41   10   2868.8671   0.0072
   41   11   3041.5521   0.0073
   41   12   3211.2310   0.0092
   41   13   3378.4047   0.0115
   41   14   3543.1627   0.0157
   41   15   3705.5080   0.0211
   41   16   3865.7089   0.0287
   41   17   4024.6047   0.0395
   41   18   4182.1012   0.0563
   42   1   1031.3718   0.0023
   42   2   1314.2329   0.0026
   42   3   1558.1895   0.0034
   42   4   1772.6287   0.0048
   42   5   1973.3181   0.0061
   42   6   2168.0991   0.0070
   42   7   2354.7817   0.0082
   42   8   2534.9923   0.0083
   42   9   2712.9723   0.0076
   42   10   2889.3205   0.0072
   42   11   3062.8547   0.0074
   42   12   3233.5341   0.0095
