model	mass	radius	log_g	logTeff	logL	age	Y	Z	feh	al	Y_c	Z_c
0101	1.6000E+00	3.1823E+00	3.6363E+00	3.7888E+00	1.1140E+00	2.0096E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0102	1.6000E+00	3.1867E+00	3.6351E+00	3.7883E+00	1.1135E+00	2.0100E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0103	1.6000E+00	3.1911E+00	3.6339E+00	3.7879E+00	1.1129E+00	2.0104E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0104	1.6000E+00	3.1955E+00	3.6327E+00	3.7875E+00	1.1124E+00	2.0108E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0105	1.6000E+00	3.1999E+00	3.6316E+00	3.7870E+00	1.1118E+00	2.0112E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0106	1.6000E+00	3.2043E+00	3.6304E+00	3.7865E+00	1.1111E+00	2.0116E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0107	1.6000E+00	3.2087E+00	3.6292E+00	3.7861E+00	1.1105E+00	2.0120E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0108	1.6000E+00	3.2131E+00	3.6280E+00	3.7856E+00	1.1098E+00	2.0124E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0109	1.6000E+00	3.2175E+00	3.6268E+00	3.7851E+00	1.1091E+00	2.0128E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0110	1.6000E+00	3.2219E+00	3.6256E+00	3.7847E+00	1.1083E+00	2.0132E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0111	1.6000E+00	3.2263E+00	3.6244E+00	3.7842E+00	1.1076E+00	2.0136E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0112	1.6000E+00	3.2307E+00	3.6232E+00	3.7837E+00	1.1068E+00	2.0140E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0113	1.6000E+00	3.2351E+00	3.6220E+00	3.7832E+00	1.1060E+00	2.0144E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0114	1.6000E+00	3.2395E+00	3.6209E+00	3.7827E+00	1.1051E+00	2.0148E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0115	1.6000E+00	3.2439E+00	3.6197E+00	3.7822E+00	1.1042E+00	2.0152E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0116	1.6000E+00	3.2482E+00	3.6185E+00	3.7816E+00	1.1033E+00	2.0156E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0117	1.6000E+00	3.2525E+00	3.6174E+00	3.7811E+00	1.1023E+00	2.0160E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0118	1.6000E+00	3.2567E+00	3.6163E+00	3.7806E+00	1.1013E+00	2.0164E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0119	1.6000E+00	3.2610E+00	3.6151E+00	3.7800E+00	1.1003E+00	2.0168E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0120	1.6000E+00	3.2652E+00	3.6140E+00	3.7795E+00	1.0992E+00	2.0172E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0121	1.6000E+00	3.2694E+00	3.6129E+00	3.7789E+00	1.0981E+00	2.0176E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0122	1.6000E+00	3.2736E+00	3.6118E+00	3.7784E+00	1.0970E+00	2.0180E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0123	1.6000E+00	3.2778E+00	3.6107E+00	3.7778E+00	1.0958E+00	2.0184E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0124	1.6000E+00	3.2819E+00	3.6096E+00	3.7772E+00	1.0946E+00	2.0188E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0125	1.6000E+00	3.2860E+00	3.6085E+00	3.7766E+00	1.0933E+00	2.0192E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0126	1.6000E+00	3.2901E+00	3.6074E+00	3.7760E+00	1.0920E+00	2.0196E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0127	1.6000E+00	3.2940E+00	3.6064E+00	3.7754E+00	1.0906E+00	2.0200E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0128	1.6000E+00	3.2979E+00	3.6053E+00	3.7748E+00	1.0892E+00	2.0204E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
