M Y Z alpha diffusion overshoot age X_c Y_surf
1.065379531249999179e+00 2.704368144531268392e-01 2.159582324218753402e-02 1.837778311523448727e+00 3.756931220703136343e-01 1.943019599609375203e-01 7.291587976681606520e+00 7.804572589755935652e-02 2.617029864891898816e-01
1.063472416992187641e+00 2.720312158203138653e-01 2.134841113281254685e-02 1.855934337890638774e+00 2.096452597656236483e-01 1.816972207031255782e-01 7.005596570402139456e+00 7.674845857225121026e-02 2.657723992295711324e-01
1.103048001953128576e+00 2.629456064453162267e-01 2.344117285156273670e-02 1.867955430664075545e+00 3.878010419921871788e-01 2.043025322265620281e-01 6.658904660279678644e+00 9.993977274015902745e-02 2.551883022820597424e-01
1.059653737304688148e+00 2.758845566406273875e-01 2.156098632812512156e-02 1.818679058593761999e+00 2.367753251953103044e-01 2.212694804687502514e-01 7.311752699417922052e+00 8.905685055832257557e-02 2.699740262410830205e-01
1.056224655273437341e+00 2.726583115234393340e-01 2.078936718750004631e-02 1.848941773437513758e+00 2.915309902343742321e-01 1.954292978515627388e-01 7.172086884921528238e+00 8.061515842152858213e-02 2.649919367278089077e-01
1.047227182617188834e+00 2.821762832031269319e-01 2.069274609375011675e-02 1.815743626953132850e+00 4.329529648437517864e-01 2.522896484375004578e-01 7.374889233390948817e+00 9.985967638901992183e-02 2.721728763897830472e-01
1.087515722656251516e+00 2.654103925781272633e-01 2.350294042968759795e-02 1.828598711914077635e+00 2.260659365234359564e-01 1.805239384765627286e-01 7.004975071086610328e+00 8.324599303142105056e-02 2.595709750543420680e-01
1.090543031250001071e+00 2.604293925781276942e-01 2.260789257812512165e-02 1.845210878906265783e+00 4.947158623046890580e-01 1.981954628906242855e-01 6.959036728503344982e+00 1.017195015003991426e-01 2.501138514618619357e-01
1.079177235351562958e+00 2.656434648437532853e-01 2.227734863281265881e-02 1.799871208007828960e+00 1.030175937499994421e-01 1.899571669921869266e-01 7.064952814865469222e+00 7.821664191571396640e-02 2.627928473236145201e-01
1.030062447265621461e+00 2.779577480468761186e-01 1.998508984374999103e-02 1.781607481445323771e+00 5.342401806640645345e-01 2.246109511718748786e-01 7.865005502799343517e+00 8.282320043764097861e-02 2.647863500526400071e-01
